
2016 Golden State  Warriors,,,,,,,,
,,,,,,,,
,,,,,,,,
19,Leandro Barbosa,SG,6-3,194,"November 28, 1982",,12,
40,Harrison Barnes,SF,6-7,225,"May 30, 1992",,3,UNC
12,Andrew Bogut,C,7-0,260,"November 28, 1984",,10,Utah
21,Ian Clark,SG,6-3,175,"March 7, 1991",,2,Belmont
30,Stephen Curry,PG,6-2,185,"March 14, 1988",,6,Davidson
31,Festus Ezeli,C,6-11,255,"October 21, 1989",,2,Vanderbilt
23,Draymond Green,PF,6-6,230,"March 4, 1990",,3,Michigan State
9,Andre Iguodala,SF,6-6,215,"January 28, 1984",,11,Arizona
34,Shaun Livingston,PG,6-7,192,"September 11, 1985",,10,
36,Kevon Looney,PF,6-9,222,"February 6, 1996",,R,UCLA
20,James Michael McAdoo,PF,6-9,230,"January 4, 1993",,1,UNC
4,Brandon Rush,SG,6-6,220,"July 7, 1985",,7,Kansas
5,Marreese Speights,C,6-10,255,"August 4, 1987",,7,Florida
1,Jason Thompson,C,6-11,250,"July 21, 1986",,7,Rider University
11,Klay Thompson,SG,6-5,220,"February 8, 1990",,4,Washington State
18,Anderson Varejão,C,6-11,273,"September 28, 1982",,11,
